event,detId,x,y,z,width,isSeed,mip,modType
5,441189402,146,0,0,2,0,0,1
5,437528582,31,0,0,2,0,1,2
5,437528581,34,13,13,2,1,0,2
5,437782566,835,0,0,1,0,1,2
5,437782565,833,12,12,1,1,0,2
5,439880782,837,0,0,1,0,1,2
5,439880781,839,10,10,2,1,0,2
5,439624710,318,0,0,1,0,1,2
5,443324510,43,0,0,3,0,0,1
5,443324509,46,0,0,2,1,0,1
5,439624709,316,21,5,1,1,0,2
5,438831158,738,0,0,2,0,0,2
5,438831157,738,17,1,1,1,0,2
5,442238994,919,0,0,1,0,0,1
5,442238993,918,0,0,1,1,0,1
5,442267730,455,1,0,2,0,0,1
5,442267729,457,1,0,1,1,0,1
5,442267734,553,0,0,2,0,0,1
5,441213002,133,1,0,1,0,0,1
6,439620722,118,0,0,1,0,0,2
6,439620721,117,9,9,1,1,0,2
6,437526586,839,0,0,1,0,1,2
6,437526585,840,15,15,1,1,0,2
6,441226246,357,1,0,1,0,0,1
6,441226245,354,1,0,1,1,0,1
6,420013110,735,1,0,2,0,0,1
6,420013109,738,1,0,2,1,0,1
6,411624670,610,0,0,1,0,0,1
6,411624669,613,0,0,2,1,0,1
6,419742766,973,0,0,1,0,0,1
6,419742765,975,0,0,1,1,0,1
6,438836250,715,0,0,1,0,0,2
6,438836249,717,11,11,2,1,0,2
6,419742770,941,0,0,2,0,0,1
6,419742769,945,0,0,1,1,0,1
6,437786642,283,0,0,1,0,1,2
6,437786641,283,12,12,1,1,0,2
6,411354298,838,0,0,1,0,0,1
6,411354297,839,0,0,2,1,0,1
6,441198690,402,0,0,3,0,0,1
6,441198690,417,0,0,3,0,0,1
6,441198690,433,0,0,2,0,0,1
6,441198689,410,0,0,2,1,0,1
6,441198689,436,0,0,2,1,0,1
6,438574162,889,0,0,1,0,1,2
6,438574161,889,12,12,1,1,0,2
6,439886882,493,0,0,2,0,0,2
6,439886881,495,14,14,2,1,0,2
6,411358406,147,1,0,1,0,0,1
6,411358405,149,1,0,1,1,0,1
7,439883910,941,0,0,1,0,1,2
7,441206794,567,0,0,2,0,0,1
7,441206793,569,0,0,2,1,0,1
7,439883909,941,28,12,2,1,0,2
7,441232474,361,1,0,1,0,0,1
7,441232473,359,1,0,1,1,0,1
7,439883906,926,0,0,1,0,0,2
7,438834270,649,0,0,2,0,0,2
7,438834269,648,8,8,1,1,0,2
7,439883905,924,31,15,1,1,0,2
7,439884934,948,0,0,2,0,0,2
7,439884933,949,2,2,1,1,0,2
7,437783618,354,0,0,1,0,1,2
7,437783617,352,27,11,2,1,0,2
7,438573098,658,0,0,2,0,1,2
7,438573097,660,27,11,1,1,0,2
7,411628654,385,1,0,1,0,0,1
7,411628653,383,1,0,1,1,0,1
7,437784642,337,0,0,2,0,1,2
7,437784641,335,6,6,1,1,0,2
7,437784641,340,6,6,1,1,0,2
7,419751170,462,1,0,2,0,0,1
7,419751169,461,1,0,1,1,0,1
7,437785666,338,0,0,1,0,0,2
7,437785665,337,6,6,2,1,0,2
7,437525534,464,0,0,1,0,0,2
7,411358302,409,1,0,1,0,0,1
7,411358301,408,1,0,1,1,0,1
7,437525533,465,18,2,1,1,0,2
7,437786690,341,0,0,2,0,0,2
7,437786689,344,6,6,3,1,0,2
7,439620666,302,0,0,1,0,1,2
7,439620665,303,3,3,1,1,0,2
8,439621750,916,0,0,2,0,0,2
8,437526586,85,0,0,1,0,1,2
8,439621749,919,20,4,2,1,0,2
8,441226254,920,0,0,2,0,0,1
8,441226253,922,0,0,2,1,0,1
8,437526585,83,26,10,1,1,0,2
8,441204826,832,0,0,1,0,0,1
8,441204825,830,0,0,1,1,0,1
8,437527610,115,0,0,1,0,1,2
8,437527609,113,2,2,1,1,0,2
8,419751006,786,0,0,1,0,0,1
8,419751005,782,0,0,2,1,0,1
8,411362522,98,0,0,2,0,0,1
8,411362521,96,0,0,1,1,0,1
8,438834210,315,0,0,1,0,1,2
8,438834209,313,14,14,2,1,0,2
8,411362525,2,0,0,2,1,0,1
8,411362526,6,1,0,1,0,0,1
8,439884850,336,0,0,1,0,0,2
8,439884849,335,3,3,1,1,0,2
8,438575190,47,0,0,2,0,1,2
8,438575189,50,7,7,2,1,0,2
8,437784602,700,0,0,1,0,0,2
8,437784601,701,20,4,1,1,0,2
8,437527614,2,0,0,2,0,0,2
8,437527613,8,0,0,2,1,0,2
8,438575186,14,0,0,1,0,0,2
8,438575185,13,8,8,2,1,0,2
8,442257506,759,1,0,1,0,0,1
8,442257505,756,1,0,1,1,0,1
9,438571094,32,0,0,1,0,1,2
9,438571093,35,14,14,1,1,0,2
9,437788698,786,0,0,2,0,0,2
9,437788697,788,5,5,1,1,0,2
9,438838306,448,0,0,1,0,1,2
9,439616626,935,0,0,2,0,0,2
9,438838305,447,21,5,1,1,0,2
9,420000834,478,1,0,5,0,0,1
9,420000833,481,1,0,1,1,0,1
9,438571090,16,0,0,1,0,0,2
9,438571089,15,15,15,1,1,0,2
9,411612322,441,0,0,1,0,0,1
9,411612321,440,0,0,1,1,0,1
9,419722285,597,0,0,2,1,0,2
9,419722285,616,0,0,2,1,0,2
9,420525142,920,0,0,1,0,0,1
9,420525141,918,0,0,1,1,0,1
9,411341950,539,0,0,2,0,0,2
9,411341949,538,11,11,1,1,0,2
9,419730482,188,0,0,1,0,0,2
9,419730481,185,19,3,2,1,0,2
9,439889970,111,0,0,1,0,1,2
